1675196825.983156 client started (15929): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1675196825.983238 on Darwin 20.6.0 Darwin Kernel Version 20.6.0: Sun Nov  6 23:17:00 PST 2022; root:xnu-7195.141.46~1/RELEASE_X86_64
1675196825.983271 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1675196825.983336 flags are 0x18010000
1675196825.983355 socket is /private/tmp/tmux-501/default
1675196825.983384 trying connect
1675196825.983433 connect failed: No such file or directory
1675196825.983616 lock file is /private/tmp/tmux-501/default.lock
1675196825.983775 flock succeeded
1675196825.983791 got lock (6)
1675196825.983806 trying connect
1675196825.983830 connect failed: No such file or directory
1675196825.996992 add peer 0x7fd868d31000: 7 (0x0)
1675196826.001534 sending message 100 to peer 0x7fd868d31000 (4 bytes)
1675196826.001591 sending message 111 to peer 0x7fd868d31000 (8 bytes)
1675196826.001605 sending message 101 to peer 0x7fd868d31000 (15 bytes)
1675196826.001617 sending message 109 to peer 0x7fd868d31000 (4 bytes)
1675196826.001628 sending message 102 to peer 0x7fd868d31000 (13 bytes)
1675196826.001639 sending message 108 to peer 0x7fd868d31000 (44 bytes)
1675196826.001651 sending message 112 to peer 0x7fd868d31000 (58 bytes)
1675196826.001663 sending message 112 to peer 0x7fd868d31000 (5 bytes)
1675196826.001674 sending message 112 to peer 0x7fd868d31000 (5 bytes)
1675196826.001685 sending message 112 to peer 0x7fd868d31000 (6 bytes)
1675196826.001697 sending message 112 to peer 0x7fd868d31000 (6 bytes)
1675196826.001708 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.001719 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.001730 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.001741 sending message 112 to peer 0x7fd868d31000 (14 bytes)
1675196826.001753 sending message 112 to peer 0x7fd868d31000 (19 bytes)
1675196826.001764 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.001775 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.001786 sending message 112 to peer 0x7fd868d31000 (15 bytes)
1675196826.001797 sending message 112 to peer 0x7fd868d31000 (21 bytes)
1675196826.001808 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.001822 sending message 112 to peer 0x7fd868d31000 (7 bytes)
1675196826.001833 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.001844 sending message 112 to peer 0x7fd868d31000 (7 bytes)
1675196826.001855 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.001866 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.001877 sending message 112 to peer 0x7fd868d31000 (21 bytes)
1675196826.001888 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.001899 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.001910 sending message 112 to peer 0x7fd868d31000 (16 bytes)
1675196826.001922 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.001933 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.001943 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.001954 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.001966 sending message 112 to peer 0x7fd868d31000 (8 bytes)
1675196826.001977 sending message 112 to peer 0x7fd868d31000 (8 bytes)
1675196826.001987 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.001999 sending message 112 to peer 0x7fd868d31000 (7 bytes)
1675196826.002009 sending message 112 to peer 0x7fd868d31000 (7 bytes)
1675196826.002020 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.002031 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.002042 sending message 112 to peer 0x7fd868d31000 (15 bytes)
1675196826.002053 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002064 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002075 sending message 112 to peer 0x7fd868d31000 (8 bytes)
1675196826.002086 sending message 112 to peer 0x7fd868d31000 (14 bytes)
1675196826.002096 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002132 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.002140 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002147 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002155 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002163 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002171 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002178 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002186 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002193 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002201 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002209 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002217 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002225 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002233 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002241 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002248 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002256 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002263 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002271 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.002279 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002291 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002299 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002307 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002314 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002322 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002330 sending message 112 to peer 0x7fd868d31000 (8 bytes)
1675196826.002337 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002345 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002352 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002360 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002368 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002375 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002383 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002390 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002398 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002406 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002413 sending message 112 to peer 0x7fd868d31000 (8 bytes)
1675196826.002421 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002432 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002440 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002448 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002455 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002463 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002471 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002479 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002487 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002494 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002502 sending message 112 to peer 0x7fd868d31000 (8 bytes)
1675196826.002510 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002517 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002525 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002532 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002540 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002548 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002555 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002563 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002574 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002599 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002608 sending message 112 to peer 0x7fd868d31000 (8 bytes)
1675196826.002616 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002624 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002632 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002640 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002648 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002656 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002664 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002672 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002681 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002689 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002697 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002706 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002714 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002722 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002730 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002737 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002748 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002756 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002764 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002772 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002781 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002789 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002797 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002805 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002813 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002821 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002829 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002837 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002847 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002855 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002864 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002873 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002882 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002890 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002900 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.002909 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.002920 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002929 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002939 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002949 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002957 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002968 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002977 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.002986 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.002995 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.003003 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003011 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003021 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003029 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003038 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003049 sending message 112 to peer 0x7fd868d31000 (10 bytes)
1675196826.003059 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.003070 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.003078 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003088 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003111 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003120 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003128 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003136 sending message 112 to peer 0x7fd868d31000 (9 bytes)
1675196826.003145 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.003153 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003160 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003168 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003176 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003185 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003193 sending message 112 to peer 0x7fd868d31000 (11 bytes)
1675196826.003201 sending message 112 to peer 0x7fd868d31000 (12 bytes)
1675196826.003209 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003217 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003225 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003233 sending message 112 to peer 0x7fd868d31000 (13 bytes)
1675196826.003244 sending message 112 to peer 0x7fd868d31000 (13 bytes)
